location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Slovenia,Europe,2078932.0,81.32,4.5,31400.84,65280211102.88,2988.0,128.0,160479.0,77193.00102167844,1437.2764477144995,61.57007540410172
Somalia,Africa,15893219.0,57.4,0.9,,,3310.0,98.0,,,208.26492103330358,6.166151740563066
South Africa,Africa,59308690.0,64.13,2.32,12294.876,729192989272.4401,630595.0,14389.0,3705408.0,62476.64549663801,10632.421656927509,242.61200171509435
South Korea,Asia,51269183.0,83.03,12.27,35938.374,1842531073328.4421,20644.0,329.0,1923547.0,37518.581093831745,402.65903983685484,6.417110255101978
South Sudan,Africa,11193729.0,57.85,,1569.888,17572900832.351997,2532.0,47.0,,,226.19807929957926,4.19877951306486
Spain,Europe,46754783.0,83.56,2.97,34272.36,1602396754697.8801,479554.0,29194.0,6416533.0,137238.00193875353,10256.790198341847,624.4067050851247
Sri Lanka,Asia,21413250.0,76.98,3.6,11669.077,249872863070.25,3101.0,12.0,,,144.81687740067483,0.560400686490841
Sudan,Africa,43849269.0,65.31,0.8,4466.507000000001,195853066933.38306,13189.0,823.0,,,300.7803847311571,18.768841961766796
Suriname,South America,586634.0,71.68,3.1,13767.119,8076260087.446,4149.0,72.0,,,7072.552903513945,122.73410678549146
Swaziland,Africa,1160164.0,60.19,2.1,7738.975,8978480191.9,4668.0,94.0,,,4023.5690816126,81.02302777883126
Sweden,Europe,10099270.0,82.8,2.22,46949.283,474153485323.41003,84532.0,5820.0,,,8370.109918835718,576.2792756308129
Switzerland,Europe,8654618.0,83.78,4.53,57410.166,496863056046.58795,42655.0,1726.0,1023203.0,118226.24638083391,4928.582636460674,199.43110140736425
Syria,Asia,17500657.0,72.7,1.5,,,2898.0,120.0,,,165.59378313625598,6.856885430072711
Taiwan,Asia,23816775.0,80.46,,,,489.0,7.0,87646.0,3680.0112525730287,20.531747056433964,0.2939104895604044
Tajikistan,Asia,9537642.0,71.1,4.8,2896.913,27629719099.146,8654.0,69.0,,,907.3521526599552,7.234492550674475
Tanzania,Africa,59734213.0,65.46,0.7,2683.304,160285052679.752,509.0,21.0,,,8.52107987092757,0.3515573227691139
Thailand,Asia,69799978.0,77.15,2.1,16277.671,1136181077691.238,3427.0,58.0,419970.0,6016.764074051714,49.09743667827517,0.8309458206419492
Timor,Asia,1318442.0,69.5,5.9,6570.102,8662298421.084,27.0,0.0,,,20.47871654574111,0.0
Togo,Africa,8278737.0,61.04,0.7,1429.813,11837045786.181002,1434.0,30.0,54709.0,6608.375166405213,173.21482733416946,3.623741157618608
Trinidad and Tobago,North America,1399491.0,73.51,3.0,28763.071,40253658996.861,1920.0,28.0,,,1371.9273650205682,20.00727407321662
Tunisia,Africa,11818618.0,76.7,2.3,10849.297,128223696811.546,4196.0,81.0,140714.0,11906.129802993886,355.0330503955708,6.853593203536995
Turkey,Asia,84339067.0,77.69,2.81,25129.341,2119385174264.847,273301.0,6462.0,7247935.0,85938.05051222585,3240.503004378742,76.61929672520566
Turks and Caicos Islands,North America,38718.0,80.22,,,,555.0,4.0,,,14334.418100108476,103.31112144222325
Uganda,Africa,45741000.0,63.37,0.5,1697.707,77654815887.0,3112.0,32.0,381749.0,8345.882250060122,68.03524190551147,0.6995911764062875
Ukraine,Europe,43733759.0,72.06,8.8,7894.393,345251480913.287,125789.0,2656.0,1597707.0,36532.57887116449,2876.244870695885,60.731116207047286
